金属	きんぞく
価値	かち
壊れる	こわれる
分量	ぶんりょう
持ち運ぶ	もちはこぶ
凡そ	およそ
元明天皇	げんめいてんのう
銀	ぎん
銅	どう
銀貨	ぎんか
銅貨	どうか
金貨	きんか
預金	よきん
小切手	こぎて
手元	てもと
経済学	けいざいがく
学問	がくもん
議題	ぎだい
事前	じぜん
巡らす	めぐらす
議長	ぎちょう
発言	はつげん
公平	こうへい
適切	てきせつ
判断	はんだん
議事	ぎじ
建設的	けんせつてき
自ら	みずから
差し控える	さしひかえる
受け止める	うけとめる
断る	ことわる
意図	いと
明らか	あきらか
予告	よこく
持ち方	もちかた
委員	いいん
谷川	たにがわ
立ち消え	たちぎえ
上級	じょうきゅう
粗筋	あらすじ
大田	おおた
増やす	ふやす
野村	のむら
高木	たかぎ
北川	きたがわ
その都度	そのつど
次回	じかい
養う	やしなう
定期的	ていきてき
向上	こうじょう
石原	いしはら
たっぷり	たっぷり
紙芝居	かみしばい
試み	こころみ
展示	てんじ
祭典	さいてん
有難い	ありがたい
クラス会	クラスかい
通知	つうち
春休み	はるやすみ
間近い	まぢかい
スプロト	スプロト
帰り道	かえりみち
偶然	ぐうぜん
グラプ	グラプ
相変わらず	あいかわらず
再会	さいかい
親しげ	したしげ
肩を並べる	かたをならべる
うわさ話	うわさばなし
積もる	つもる
尽きる	つきる
世話役	せわやく
暮れる	くれる
暗い	くらい
心当たり	こころあたり
交渉	こうしょう
招待状	しょうたいじょう
日一日と	ひいちにちと
増す	ます
試験期	しけんき
存じる	ぞんじる
思い出話	おもいでばなし
そのおり	そのおり
昨年	さくねん
来たる	きたる
田村屋	たむらや
一同	いちどう
大田新作	おおたしんさく
イソップ	イソップ
物語	ものがたり
狐	きつね
井戸	いど
落ちる	おちる
どうしても	どうしても
渇く	かわく
山羊	やぎ
見付ける	みつける
褒め立てる	ほめたてる
収まる	おさまる
思い付く	おもいつく
前足	まえあし
突っ張る	つっぱる
角	つの
やる	やる
背中	せなか
引き上がる	ひきあがる
飛び上がる	とびあがる
踏み台	ふみだい
文句	もんく
振り返る	ふりかえる
知恵	ちえ
感じる	かんじる
大谷	おおたに
山田	やまだ
我慢	がまん
木村	きむら
台	だい
西山	にしやま
性質	せいしつ
浅い	あさい
素直	すなお
信じる	しんじる
長島	ながしま
大嫌い	だいきらい
ずるい	ずるい
浦島太郎	うらしまたろう
浜辺	はまべ
騒ぐ	さわぐ
亀	かめ
匹	ひき
捕まる	つかまる
転がす	ころがす
叩く	たたく
可哀相	かわいそう
そんなら	そんなら
買い取る	かいとる
撫でる	なでる
放す	はなす
釣	つり
ひょっこりと	ひょっこりと
お辞儀	おじぎ
龍宮	りゅうぐう
鯛	たい
比目魚	ひらめ
御殿	ごてん
通す	とおす
玉	ぎょく
貝	かい
眩しい	まぶしい
乙姫	おとひめ
暇	いとま
頻りに	しきりに
箱	はこ
抱える	かかえる
村	むら
どうかなる	どうかなる
煙	けむり
すうと	すうと
髪	かみ
真っ白	まっしろ
留守番	るすばん
留守番電話	るすばんでんわ
ドラマ	ドラマ
不愉快	ふゆかい
事務的	じむてき
伝言	でんごん
従う	したがう
返事	へんじ
アナウンサー	アナウンサー
話しかける	はなしかける
魅力	みりょく
比較	ひかく
同時性	どうじせい
逆戻り	ぎゃくもどり
男性	だんせい
女性	じょせい
もしもし	もしもし
山下	やました
川上	かわかみ
信号音	しんごうおん
以内	いない
羨ましい	うらやましい
夫	おっと
妻	つま
ねえ	ねえ
共働き	ともばたらき
減る	へる
テレビ電話	テレビでんわ
アフリカ	アフリカ
中継	ちゅうけい
スクリーン	スクリーン
真っ黒	まっくろ
黒人	こくじん
真っ赤	まっか
ぱくぱく	ぱくぱく
だが	だが
さっぱり	さっぱり
聞き返す	ききかえす
一層	いっそう
早口	はやくち
巻し立てる	まくしたてる
試す	ためす
弱る	よわる
どうやら	どうやら
スワヒリ語	スワヒリご
インドネシア	インドネシア
首をひねる	くびをひねる
ふと	ふと
思い付く	おもいつく
ホーム	ホーム
電子頭脳	でんしずのう
装置	そうち
ランプ	ランプ
ぱちぱち	ぱちぱち
瞬く	またたく
スピーカー	スピーカー
踊りあがる	おどりあがる
ダイヤル	ダイヤル
捻る	ひねる
連結	れんけつ
輝く	かがやく
流暢	りゅうちょう
回路	かいろ
共和国	きょうわこく
親友	しんゆう
うなずく	うなずく
会館	かいかん
行き先	ゆきさき
せき込む	せきこむ
南極市	なんきょくし
ロケット機	ロケットき
眉をひそめる	まゆをひそめる
輝かす	かがやかす
コピー	コピー
出回る	でまわる
サラダオイル	サラダオイル
イクラ	イクラ
材料	ざいりょう
上等	じょうとう
高度	こうど
加工	かこう
香り	かおり
歯ざわり	はざわり
そっくり	そっくり
食品添加物	しょくひんてんかぶつ
大量	たいりょう
合成	ごうせい
保存料	ほぞんりょう
給食	きゅうしょく
外食	がいしょく
骨	ほね
偽物	にせもの
苦しめる	くるしめる
奢り	おごり
へえ	へえ
流行り	はやり
素人	しろうと
フライ	フライ
ステーキ	ステーキ
もくもくと	もくもくと
長男	ちょうなん
孝司	たかし
突然	とつぜん
フォーク	フォーク
一切れ	ひときれ
だって	だって
チューブ	チューブ
入り	いり
ゼリー	ゼリー
錠剤	じょうざい
粒	つぶ
注射	ちゅうしゃ
未来	みらい
味わう	あじわう
噛む	かむ
屁理屈	へりくつ
コンコルド	コンコルド
ロッキード	ロッキード
SST	SST
じゃんじゃん	じゃんじゃん
エアカー	エアカー
歩道	ほどう
実用	じつよう
かっこいい	かっこいい
真面目くさい	まじめくさる
最も	もっとも
少年	しょうねん
大問題	だいもんだい
挿し込む	さしこむ
身分証明書	みぶんしょうめいしょ
支払い	しはらい
兼ねる	かねる
額	がく
実に	じつに
落とす	おとす
泥棒	どろぼう
札	さつ
無駄遣い	むだづかい
投書	とうしょ
目の前	めのまえ
貨幣	かへい
実感	じっかん
節約	せつやく
気楽	きらく
理性	りせい
行動	こうどう
知人	ちじん
ハンドバッグ	ハンドバッグ
テレフォンカード	テレフォンカード
意志	いし
弱い	よわい
夫婦	ふうふ
消費税	しょうひぜい
面倒	めんどう
玉	たま
コーヒーカップ	コーヒーカップ
偉い	えらい
給与	きゅうよ
口座	こうざ
丸井	まるい
使い過ぎ	つかいすぎ
特典	とくてん
改めて	あらためて
会員誌	かいいんし
裏	うら
マーク	マーク
飲食	いんしょく
乃至	ないし
割り引く	わりびく
会費	かいひ
勘違い	かんちがい
どうか	どうか
勇気	ゆうき
